k_20_louvain_1,CellType
1,LS_Inh_A
2,Str_DRD1_MSN_A
3,Excit_A
4,OPC
5,Microglia
6,LS_Inh_B
7,Oligo
8,Ependymal
9,Str_DRD1_Patch
10,LS_Inh_C
11,MS_Inh_A
12,Sept_Inh_A
13,Sept_Inh_B
14,MS_Inh_B
15,Str_DRD2_MSN
16,MS_Inh_C
17,MS_Excit_A
18,Excit_B
19,LS_Inh_D
20,Mural
21,Astrocyte
22,Sept_Inh_C
23,LS_Inh_E
24,Oligo
25,MS_Inh_D
26,Str_DRD1_MSN_B
